# Glyph slots the dialogue script never references.
# Safe to repaint with Latin letters for an English patch: repointing a
# string to one of these cannot corrupt existing text.
#
# The font (archive entry 4) has 2048 slots of 64 bytes, 16x16 at 2bpp.
# Repaint with: python tools/font.py export / import
#
# 351 BLANK slots, no artwork to preserve:
#     0x6a1 - 0x7ff   (351 slots, above everything the script uses)
#   NOT safe despite being blank: 0x066 is the full-width space and is
#   drawn constantly; 0x593 is referenced by the script.
#
# 188 DRAWN slots below, listed with the character each currently holds.
# Total repaintable: 539.

0x001b	（
0x001c	）
0x001d	〔
0x001e	〕
0x001f	；
0x0048	晴
0x0049	朗
0x0052	嗨
0x0058	涼
0x00bc	舉
0x0137	檔
0x0138	讀
0x013d	窗
0x0140	音
0x0143	D
0x0144	O
0x0145	S
0x017f	沿
0x01cc	糧
0x01d4	列
0x01d5	基
0x01d7	M
0x01d8	P
0x01d9	H
0x01dc	級
0x01dd	臂
0x01df	慧
0x01e8	禦
0x0208	廚
0x0209	餐
0x0214	濃
0x0215	郁
0x0216	香
0x0263	X
0x027c	?
0x027d	?
0x027e	?
0x027f	?
0x0281	?
0x0282	?
0x028b	?
0x028c	?
0x028d	?
0x0291	?
0x0299	?
0x029b	?
0x029d	?
0x02a4	?
0x02a5	?
0x02a7	?
0x02a9	?
0x02aa	?
0x02b1	?
0x02b2	?
0x02bc	?
0x02be	?
0x02bf	?
0x02c0	?
0x02c1	?
0x02cb	屑
0x02d0	骷
0x02d1	髏
0x02d5	鑽
0x02e3	銅
0x02e6	帽
0x02e8	餞
0x02e9	緞
0x02ea	獅
0x02ed	鎧
0x02f3	袍
0x02f9	鱗
0x02fa	冑
0x02fc	盾
0x02fd	腕
0x02fe	稻
0x02ff	妻
0x0305	璽
0x0306	鳳
0x0307	凰
0x0308	鋼
0x030a	犬
0x030d	隕
0x0310	托
0x0315	砲
0x0317	?
0x0319	旋
0x031c	昇
0x031d	舞
0x031e	煌
0x031f	升
0x0323	熾
0x0324	颶
0x0325	迅
0x0326	疾
0x0328	凝
0x032a	赤
0x032b	虹
0x032c	怒
0x032d	鏡
0x032f	霆
0x0334	沈
0x0335	默
0x0336	焦
0x0338	游
0x033a	宙
0x0346	低
0x0444	紫
0x0446	橙
0x0447	彈
0x0453	翡
0x0454	翠
0x0458	誠
0x045b	虎
0x045d	鞋
0x045e	披
0x0461	＋
0x0463	％
0x0481	謁
0x0484	釋
0x0485	謎
0x053e	純
0x053f	薄
0x0543	配
0x0544	爵
0x0547	硬
0x0548	鋒
0x0555	鍾
0x0556	?
0x0557	鍛
0x0558	革
0x0559	?
0x055a	鏡
0x057f	欲
0x05a4	訓
0x05a6	噓
0x05a8	溝
0x05a9	約
0x05ba	萄
0x05c8	淮
0x05c9	察
0x05ca	悍
0x05cb	抵
0x05cc	雜
0x05cd	禁
0x05cf	爽
0x05d0	拆
0x05d1	網
0x05d2	狠
0x05d3	藝
0x05d4	卒
0x05d5	例
0x05d6	甘
0x05d9	逝
0x05da	泡
0x05dd	迫
0x05de	握
0x05e0	唔
0x05e1	跳
0x05e2	扎
0x05e4	碎
0x05e6	鳴
0x05e9	鎗
0x05ea	箭
0x05eb	慢
0x05ec	副
0x0633	恆
0x0634	毅
0x0635	板
0x063b	悅
0x063c	振
0x0644	姆
0x0647	枯
0x0648	竭
0x064b	慣
0x0656	─
0x066c	偷
0x066d	祭
0x066e	蘊
0x066f	含
0x0670	冥
0x0671	斗
0x0683	筒
0x0692	－
0x069c	柄
0x069d	駭
0x069e	幅
0x069f	耐
0x06a0	窮
