slot,reading,dialogue_uses,bigrams (count)
0x0001,裝,7,裝備(3)  裝扮(2)  服裝(2)  西裝(1)  充裝(1)  衛裝(1)  個裝(1)  裝是(1)
0x0008,她,20,她是(3)  她的(2)  為她(2)  帶她(2)  到她(1)  她去(1)  她到(1)  她長(1)  得她(1)  她叫(1)
0x0013,漂,13,漂亮(12)  很漂(3)  好漂(2)  真漂(2)  地漂(1)  漂流(1)  會漂(1)  太漂(1)  挺漂(1)  當漂(1)
0x0014,亮,12,漂亮(12)  亮的(3)  亮喔(2)  亮姊(1)  亮了(1)
0x0024,總,14,總理(7)  的總(3)  總是(2)  總算(2)  總管(2)  總監(1)  實總(1)  他總(1)  是總(1)
0x0027,倒,10,倒我(3)  打倒(3)  倒了(2)  倒是(2)  不倒(1)  昏倒(1)  倒它(1)  倒楣(1)  要倒(1)  倒要(1)
0x0029,挺,5,也挺(2)  挺會(1)  是挺(1)  挺有(1)  還挺(1)  挺漂(1)  孩挺(1)  挺累(1)  挺無(1)
0x002a,舒,5,很舒(4)  舒服(3)  舒適(2)  好舒(1)
0x002d,剩,4,剩下(3)  他剩(1)  剩波(1)  只剩(1)
0x002e,婦,1,婦人(1)
0x0035,男,6,男孩(3)  小男(2)  男生(1)  男也(1)  壯男(1)  男人(1)  的男(1)
0x0038,乎,12,幾乎(6)  似乎(5)  乎沒(3)  乎是(2)  乎不(1)  乎在(1)  乎很(1)  乎將(1)  乎其(1)  神乎(1)
0x003f,青,1,青年(1)  的青(1)
0x0044,展,2,展露(1)  卡展(1)  展不(1)  發展(1)
0x0045,今,14,今天(8)  至今(2)  今後(2)  你今(1)  今都(1)  今聖(1)  像今(1)  致今(1)  有今(1)  今的(1)
0x004f,善,8,善良(3)  改善(3)  很善(2)  善蘭(1)  地善(1)  善的(1)  和善(1)  善人(1)  善部(1)  善體(1)
0x0053,喜,15,喜歡(12)  最喜(4)  很喜(3)  喜愛(2)  會喜(1)  喜一(1)  歡喜(1)  卻喜(1)  不喜(1)  我喜(1)
0x0057,乘,4,乘破(2)  乘虛(1)  物乘(1)  乘坐(1)  須乘(1)  搭乘(1)
0x0059,並,18,並不(9)  並且(5)  並沒(2)  我並(2)  並帶(2)  裡並(1)  是並(1)  琳並(1)  你並(1)  印並(1)
0x005c,髮,4,頭髮(2)  髮美(2)  髮真(1)  褐髮(1)  金髮(1)
0x005f,招,4,絕招(2)  招待(1)  好招(1)  招而(1)  招式(1)  的招(1)
